spot_strike_ratio,ttm,risk_free_rate,price_strike_ratio,volatility,left_ci,right_ci,predicted_vol,vol_left_ci,vol_right_ci
0.7234,0.3123,0.0580,0.0009,0,0,0,0.4947,0.2100,0.2100
0.7673,0.3123,0.0580,0.0023,0,0,0,0.4947,0.1467,0.1467
0.8038,0.3123,0.0580,0.0046,0,0,0,0.4736,0.0641,0.0641
0.8168,0.3123,0.0580,0.0057,0,0,0,0.4648,0.0535,0.0535
0.8384,0.3123,0.0580,0.0081,0,0,0,0.4508,0.0535,0.0535
0.8440,0.3123,0.0580,0.0089,0,0,0,0.4490,0.0535,0.0535
0.8731,0.3123,0.0580,0.0136,0,0,0,0.4350,0.0535,0.0535
0.9043,0.3123,0.0580,0.0204,0,0,0,0.4209,0.0535,0.0535
0.9207,0.3123,0.0580,0.0249,0,0,0,0.4121,0.0535,0.0535
0.9555,0.3123,0.0580,0.0366,0,0,0,0.3541,0.0535,0.0535
0.9929,0.3123,0.0580,0.0531,0,0,0,0.3559,0.0535,0.0535
0.9969,0.3123,0.0580,0.0550,0,0,0,0.3752,0.0535,0.0535
1.0008,0.3123,0.0580,0.0570,0,0,0,0.3928,0.0535,0.0535
1.0048,0.3123,0.0580,0.0591,0,0,0,0.4068,0.0535,0.0535
1.0128,0.3123,0.0580,0.0634,0,0,0,0.4279,0.0535,0.0535
1.0169,0.3123,0.0580,0.0657,0,0,0,0.4367,0.0535,0.0535
1.0210,0.3123,0.0580,0.0679,0,0,0,0.4420,0.0535,0.0535
1.0377,0.3123,0.0580,0.0778,0,0,0,0.4596,0.0535,0.0535
1.0506,0.3123,0.0580,0.0858,0,0,0,0.4613,0.0535,0.0535
1.0550,0.3123,0.0580,0.0886,0,0,0,0.4596,0.0535,0.0535
1.1154,0.3123,0.0580,0.1311,0,0,0,0.3576,0.1080,0.1080
1.1405,0.3123,0.0580,0.1508,0,0,0,0.3066,0.1449,0.1449
